"Time (CET)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"16.08.2019 02:00 - 16.08.2019 02:30","N/A","508"
"16.08.2019 02:30 - 16.08.2019 03:00","N/A","498"
"16.08.2019 03:00 - 16.08.2019 03:30","N/A","489"
"16.08.2019 03:30 - 16.08.2019 04:00","N/A","486"
"16.08.2019 04:00 - 16.08.2019 04:30","N/A","482"
"16.08.2019 04:30 - 16.08.2019 05:00","N/A","487"
"16.08.2019 05:00 - 16.08.2019 05:30","N/A","474"
"16.08.2019 05:30 - 16.08.2019 06:00","N/A","485"
"16.08.2019 06:00 - 16.08.2019 06:30","N/A","503"
"16.08.2019 06:30 - 16.08.2019 07:00","N/A","539"
"16.08.2019 07:00 - 16.08.2019 07:30","N/A","561"
"16.08.2019 07:30 - 16.08.2019 08:00","N/A","582"
"16.08.2019 08:00 - 16.08.2019 08:30","N/A","599"
"16.08.2019 08:30 - 16.08.2019 09:00","N/A","610"
"16.08.2019 09:00 - 16.08.2019 09:30","N/A","613"
"16.08.2019 09:30 - 16.08.2019 10:00","N/A","613"
"16.08.2019 10:00 - 16.08.2019 10:30","N/A","611"
"16.08.2019 10:30 - 16.08.2019 11:00","N/A","602"
"16.08.2019 11:00 - 16.08.2019 11:30","N/A","605"
"16.08.2019 11:30 - 16.08.2019 12:00","N/A","615"
"16.08.2019 12:00 - 16.08.2019 12:30","N/A","625"
"16.08.2019 12:30 - 16.08.2019 13:00","N/A","633"
"16.08.2019 13:00 - 16.08.2019 13:30","N/A","644"
"16.08.2019 13:30 - 16.08.2019 14:00","N/A","654"
"16.08.2019 14:00 - 16.08.2019 14:30","N/A","657"
"16.08.2019 14:30 - 16.08.2019 15:00","N/A","666"
"16.08.2019 15:00 - 16.08.2019 15:30","N/A","676"
"16.08.2019 15:30 - 16.08.2019 16:00","N/A","679"
"16.08.2019 16:00 - 16.08.2019 16:30","N/A","684"
"16.08.2019 16:30 - 16.08.2019 17:00","N/A","688"
"16.08.2019 17:00 - 16.08.2019 17:30","N/A","686"
"16.08.2019 17:30 - 16.08.2019 18:00","N/A","682"
"16.08.2019 18:00 - 16.08.2019 18:30","N/A","674"
"16.08.2019 18:30 - 16.08.2019 19:00","N/A","668"
"16.08.2019 19:00 - 16.08.2019 19:30","N/A","691"
"16.08.2019 19:30 - 16.08.2019 20:00","N/A","685"
"16.08.2019 20:00 - 16.08.2019 20:30","N/A","673"
"16.08.2019 20:30 - 16.08.2019 21:00","N/A","660"
"16.08.2019 21:00 - 16.08.2019 21:30","N/A","649"
"16.08.2019 21:30 - 16.08.2019 22:00","N/A","642"
"16.08.2019 22:00 - 16.08.2019 22:30","N/A","633"
"16.08.2019 22:30 - 16.08.2019 23:00","N/A","621"
"16.08.2019 23:00 - 16.08.2019 23:30","N/A","606"
"16.08.2019 23:30 - 17.08.2019 00:00","N/A","591"
"17.08.2019 00:00 - 17.08.2019 00:30","N/A","578"
"17.08.2019 00:30 - 17.08.2019 01:00","N/A","562"
"17.08.2019 01:00 - 17.08.2019 01:30","N/A","546"
"17.08.2019 01:30 - 17.08.2019 02:00","N/A","537"
"17.08.2019 02:00 - 17.08.2019 02:30","N/A","529"
"17.08.2019 02:30 - 17.08.2019 03:00","N/A","522"
"17.08.2019 03:00 - 17.08.2019 03:30","N/A","517"
"17.08.2019 03:30 - 17.08.2019 04:00","N/A","509"
"17.08.2019 04:00 - 17.08.2019 04:30","N/A","507"
"17.08.2019 04:30 - 17.08.2019 05:00","N/A","507"
"17.08.2019 05:00 - 17.08.2019 05:30","N/A","492"
"17.08.2019 05:30 - 17.08.2019 06:00","N/A","503"
"17.08.2019 06:00 - 17.08.2019 06:30","N/A","513"
"17.08.2019 06:30 - 17.08.2019 07:00","N/A","536"
"17.08.2019 07:00 - 17.08.2019 07:30","N/A","552"
"17.08.2019 07:30 - 17.08.2019 08:00","N/A","571"
"17.08.2019 08:00 - 17.08.2019 08:30","N/A","584"
"17.08.2019 08:30 - 17.08.2019 09:00","N/A","595"
"17.08.2019 09:00 - 17.08.2019 09:30","N/A","604"
"17.08.2019 09:30 - 17.08.2019 10:00","N/A","605"
"17.08.2019 10:00 - 17.08.2019 10:30","N/A","602"
"17.08.2019 10:30 - 17.08.2019 11:00","N/A","610"
"17.08.2019 11:00 - 17.08.2019 11:30","N/A","617"
"17.08.2019 11:30 - 17.08.2019 12:00","N/A","620"
"17.08.2019 12:00 - 17.08.2019 12:30","N/A","633"
"17.08.2019 12:30 - 17.08.2019 13:00","N/A","644"
"17.08.2019 13:00 - 17.08.2019 13:30","N/A","652"
"17.08.2019 13:30 - 17.08.2019 14:00","N/A","666"
"17.08.2019 14:00 - 17.08.2019 14:30","N/A","671"
"17.08.2019 14:30 - 17.08.2019 15:00","N/A","678"
"17.08.2019 15:00 - 17.08.2019 15:30","N/A","684"
"17.08.2019 15:30 - 17.08.2019 16:00","N/A","690"
"17.08.2019 16:00 - 17.08.2019 16:30","N/A","692"
"17.08.2019 16:30 - 17.08.2019 17:00","N/A","694"
"17.08.2019 17:00 - 17.08.2019 17:30","N/A","694"
"17.08.2019 17:30 - 17.08.2019 18:00","N/A","693"
"17.08.2019 18:00 - 17.08.2019 18:30","N/A","682"
"17.08.2019 18:30 - 17.08.2019 19:00","N/A","675"
"17.08.2019 19:00 - 17.08.2019 19:30","N/A","699"
"17.08.2019 19:30 - 17.08.2019 20:00","N/A","691"
"17.08.2019 20:00 - 17.08.2019 20:30","N/A","681"
"17.08.2019 20:30 - 17.08.2019 21:00","N/A","668"
"17.08.2019 21:00 - 17.08.2019 21:30","N/A","660"
"17.08.2019 21:30 - 17.08.2019 22:00","N/A","651"
"17.08.2019 22:00 - 17.08.2019 22:30","N/A","646"
"17.08.2019 22:30 - 17.08.2019 23:00","N/A","636"
"17.08.2019 23:00 - 17.08.2019 23:30","N/A","626"
"17.08.2019 23:30 - 18.08.2019 00:00","N/A","608"
"18.08.2019 00:00 - 18.08.2019 00:30","N/A","592"
"18.08.2019 00:30 - 18.08.2019 01:00","N/A","573"
"18.08.2019 01:00 - 18.08.2019 01:30","N/A","557"
"18.08.2019 01:30 - 18.08.2019 02:00","N/A","547"
"18.08.2019 02:00 - 18.08.2019 02:30","N/A","533"
"18.08.2019 02:30 - 18.08.2019 03:00","N/A","523"
"18.08.2019 03:00 - 18.08.2019 03:30","N/A","516"
"18.08.2019 03:30 - 18.08.2019 04:00","N/A","509"
"18.08.2019 04:00 - 18.08.2019 04:30","N/A","504"
"18.08.2019 04:30 - 18.08.2019 05:00","N/A","504"
"18.08.2019 05:00 - 18.08.2019 05:30","N/A","485"
"18.08.2019 05:30 - 18.08.2019 06:00","N/A","486"
"18.08.2019 06:00 - 18.08.2019 06:30","N/A","492"
"18.08.2019 06:30 - 18.08.2019 07:00","N/A","506"
"18.08.2019 07:00 - 18.08.2019 07:30","N/A","513"
"18.08.2019 07:30 - 18.08.2019 08:00","N/A","525"
"18.08.2019 08:00 - 18.08.2019 08:30","N/A","532"
"18.08.2019 08:30 - 18.08.2019 09:00","N/A","538"
"18.08.2019 09:00 - 18.08.2019 09:30","N/A","542"
"18.08.2019 09:30 - 18.08.2019 10:00","N/A","550"
"18.08.2019 10:00 - 18.08.2019 10:30","N/A","553"
"18.08.2019 10:30 - 18.08.2019 11:00","N/A","559"
"18.08.2019 11:00 - 18.08.2019 11:30","N/A","564"
"18.08.2019 11:30 - 18.08.2019 12:00","N/A","576"
"18.08.2019 12:00 - 18.08.2019 12:30","N/A","585"
"18.08.2019 12:30 - 18.08.2019 13:00","N/A","591"
"18.08.2019 13:00 - 18.08.2019 13:30","N/A","594"
"18.08.2019 13:30 - 18.08.2019 14:00","N/A","606"
"18.08.2019 14:00 - 18.08.2019 14:30","N/A","612"
"18.08.2019 14:30 - 18.08.2019 15:00","N/A","627"
"18.08.2019 15:00 - 18.08.2019 15:30","N/A","635"
"18.08.2019 15:30 - 18.08.2019 16:00","N/A","643"
"18.08.2019 16:00 - 18.08.2019 16:30","N/A","649"
"18.08.2019 16:30 - 18.08.2019 17:00","N/A","645"
"18.08.2019 17:00 - 18.08.2019 17:30","N/A","645"
"18.08.2019 17:30 - 18.08.2019 18:00","N/A","645"
"18.08.2019 18:00 - 18.08.2019 18:30","N/A","639"
"18.08.2019 18:30 - 18.08.2019 19:00","N/A","638"
"18.08.2019 19:00 - 18.08.2019 19:30","N/A","673"
"18.08.2019 19:30 - 18.08.2019 20:00","N/A","676"
"18.08.2019 20:00 - 18.08.2019 20:30","N/A","671"
"18.08.2019 20:30 - 18.08.2019 21:00","N/A","669"
"18.08.2019 21:00 - 18.08.2019 21:30","N/A","664"
"18.08.2019 21:30 - 18.08.2019 22:00","N/A","662"
"18.08.2019 22:00 - 18.08.2019 22:30","N/A","654"
"18.08.2019 22:30 - 18.08.2019 23:00","N/A","641"
"18.08.2019 23:00 - 18.08.2019 23:30","N/A","622"
"18.08.2019 23:30 - 19.08.2019 00:00","N/A","608"
"19.08.2019 00:00 - 19.08.2019 00:30","N/A","587"
"19.08.2019 00:30 - 19.08.2019 01:00","N/A","569"
"19.08.2019 01:00 - 19.08.2019 01:30","N/A","557"
"19.08.2019 01:30 - 19.08.2019 02:00","N/A","544"
"19.08.2019 02:00 - 19.08.2019 02:30","N/A","533"
"19.08.2019 02:30 - 19.08.2019 03:00","N/A","522"
"19.08.2019 03:00 - 19.08.2019 03:30","N/A","518"
"19.08.2019 03:30 - 19.08.2019 04:00","N/A","514"
"19.08.2019 04:00 - 19.08.2019 04:30","N/A","512"
"19.08.2019 04:30 - 19.08.2019 05:00","N/A","516"
"19.08.2019 05:00 - 19.08.2019 05:30","N/A","507"
"19.08.2019 05:30 - 19.08.2019 06:00","N/A","523"
"19.08.2019 06:00 - 19.08.2019 06:30","N/A","551"
"19.08.2019 06:30 - 19.08.2019 07:00","N/A","600"
"19.08.2019 07:00 - 19.08.2019 07:30","N/A","639"
"19.08.2019 07:30 - 19.08.2019 08:00","N/A","674"
"19.08.2019 08:00 - 19.08.2019 08:30","N/A","692"
"19.08.2019 08:30 - 19.08.2019 09:00","N/A","710"
"19.08.2019 09:00 - 19.08.2019 09:30","N/A","719"
"19.08.2019 09:30 - 19.08.2019 10:00","N/A","719"
"19.08.2019 10:00 - 19.08.2019 10:30","N/A","713"
"19.08.2019 10:30 - 19.08.2019 11:00","N/A","714"
"19.08.2019 11:00 - 19.08.2019 11:30","N/A","724"
"19.08.2019 11:30 - 19.08.2019 12:00","N/A","735"
"19.08.2019 12:00 - 19.08.2019 12:30","N/A","733"
"19.08.2019 12:30 - 19.08.2019 13:00","N/A","740"
"19.08.2019 13:00 - 19.08.2019 13:30","N/A","754"
"19.08.2019 13:30 - 19.08.2019 14:00","N/A","760"
"19.08.2019 14:00 - 19.08.2019 14:30","N/A","745"
"19.08.2019 14:30 - 19.08.2019 15:00","N/A","729"
"19.08.2019 15:00 - 19.08.2019 15:30","N/A","725"
"19.08.2019 15:30 - 19.08.2019 16:00","N/A","721"
"19.08.2019 16:00 - 19.08.2019 16:30","N/A","730"
"19.08.2019 16:30 - 19.08.2019 17:00","N/A","722"
"19.08.2019 17:00 - 19.08.2019 17:30","N/A","715"
"19.08.2019 17:30 - 19.08.2019 18:00","N/A","708"
"19.08.2019 18:00 - 19.08.2019 18:30","N/A","697"
"19.08.2019 18:30 - 19.08.2019 19:00","N/A","689"
"19.08.2019 19:00 - 19.08.2019 19:30","N/A","717"
"19.08.2019 19:30 - 19.08.2019 20:00","N/A","710"
"19.08.2019 20:00 - 19.08.2019 20:30","N/A","700"
"19.08.2019 20:30 - 19.08.2019 21:00","N/A","688"
"19.08.2019 21:00 - 19.08.2019 21:30","N/A","679"
"19.08.2019 21:30 - 19.08.2019 22:00","N/A","669"
"19.08.2019 22:00 - 19.08.2019 22:30","N/A","656"
"19.08.2019 22:30 - 19.08.2019 23:00","N/A","640"
"19.08.2019 23:00 - 19.08.2019 23:30","N/A","620"
"19.08.2019 23:30 - 20.08.2019 00:00","N/A","601"
"20.08.2019 00:00 - 20.08.2019 00:30","N/A","585"
"20.08.2019 00:30 - 20.08.2019 01:00","N/A","563"
"20.08.2019 01:00 - 20.08.2019 01:30","N/A","549"
"20.08.2019 01:30 - 20.08.2019 02:00","N/A","534"
"20.08.2019 02:00 - 20.08.2019 02:30","N/A","524"
"20.08.2019 02:30 - 20.08.2019 03:00","N/A","515"
"20.08.2019 03:00 - 20.08.2019 03:30","N/A","507"
"20.08.2019 03:30 - 20.08.2019 04:00","N/A","504"
"20.08.2019 04:00 - 20.08.2019 04:30","N/A","503"
"20.08.2019 04:30 - 20.08.2019 05:00","N/A","505"
"20.08.2019 05:00 - 20.08.2019 05:30","N/A","501"
"20.08.2019 05:30 - 20.08.2019 06:00","N/A","515"
"20.08.2019 06:00 - 20.08.2019 06:30","N/A","540"
"20.08.2019 06:30 - 20.08.2019 07:00","N/A","584"
"20.08.2019 07:00 - 20.08.2019 07:30","N/A","622"
"20.08.2019 07:30 - 20.08.2019 08:00","N/A","657"
"20.08.2019 08:00 - 20.08.2019 08:30","N/A","672"
"20.08.2019 08:30 - 20.08.2019 09:00","N/A","690"
"20.08.2019 09:00 - 20.08.2019 09:30","N/A","705"
"20.08.2019 09:30 - 20.08.2019 10:00","N/A","698"
"20.08.2019 10:00 - 20.08.2019 10:30","N/A","691"
"20.08.2019 10:30 - 20.08.2019 11:00","N/A","695"
"20.08.2019 11:00 - 20.08.2019 11:30","N/A","706"
"20.08.2019 11:30 - 20.08.2019 12:00","N/A","N/A"
"20.08.2019 12:00 - 20.08.2019 12:30","N/A","N/A"
"20.08.2019 12:30 - 20.08.2019 13:00","N/A","745"
"20.08.2019 13:00 - 20.08.2019 13:30","N/A","731"
"20.08.2019 13:30 - 20.08.2019 14:00","N/A","708"
"20.08.2019 14:00 - 20.08.2019 14:30","N/A","696"
"20.08.2019 14:30 - 20.08.2019 15:00","N/A","687"
"20.08.2019 15:00 - 20.08.2019 15:30","N/A","699"
"20.08.2019 15:30 - 20.08.2019 16:00","N/A","698"
"20.08.2019 16:00 - 20.08.2019 16:30","N/A","699"
"20.08.2019 16:30 - 20.08.2019 17:00","N/A","699"
"20.08.2019 17:00 - 20.08.2019 17:30","N/A","691"
"20.08.2019 17:30 - 20.08.2019 18:00","N/A","679"
"20.08.2019 18:00 - 20.08.2019 18:30","N/A","668"
"20.08.2019 18:30 - 20.08.2019 19:00","N/A","656"
"20.08.2019 19:00 - 20.08.2019 19:30","N/A","685"
"20.08.2019 19:30 - 20.08.2019 20:00","N/A","675"
"20.08.2019 20:00 - 20.08.2019 20:30","N/A","663"
"20.08.2019 20:30 - 20.08.2019 21:00","N/A","649"
"20.08.2019 21:00 - 20.08.2019 21:30","N/A","635"
"20.08.2019 21:30 - 20.08.2019 22:00","N/A","622"
"20.08.2019 22:00 - 20.08.2019 22:30","N/A","610"
"20.08.2019 22:30 - 20.08.2019 23:00","N/A","595"
"20.08.2019 23:00 - 20.08.2019 23:30","N/A","575"
"20.08.2019 23:30 - 21.08.2019 00:00","N/A","561"
"21.08.2019 00:00 - 21.08.2019 00:30","N/A","543"
"21.08.2019 00:30 - 21.08.2019 01:00","N/A","526"
"21.08.2019 01:00 - 21.08.2019 01:30","N/A","511"
"21.08.2019 01:30 - 21.08.2019 02:00","N/A","498"
"21.08.2019 02:00 - 21.08.2019 02:30","N/A","487"
"21.08.2019 02:30 - 21.08.2019 03:00","N/A","479"
"21.08.2019 03:00 - 21.08.2019 03:30","N/A","471"
"21.08.2019 03:30 - 21.08.2019 04:00","N/A","466"
"21.08.2019 04:00 - 21.08.2019 04:30","N/A","465"
"21.08.2019 04:30 - 21.08.2019 05:00","N/A","470"
"21.08.2019 05:00 - 21.08.2019 05:30","N/A","464"
"21.08.2019 05:30 - 21.08.2019 06:00","N/A","479"
"21.08.2019 06:00 - 21.08.2019 06:30","N/A","502"
"21.08.2019 06:30 - 21.08.2019 07:00","N/A","542"
"21.08.2019 07:00 - 21.08.2019 07:30","N/A","575"
"21.08.2019 07:30 - 21.08.2019 08:00","N/A","610"
"21.08.2019 08:00 - 21.08.2019 08:30","N/A","631"
"21.08.2019 08:30 - 21.08.2019 09:00","N/A","653"
"21.08.2019 09:00 - 21.08.2019 09:30","N/A","660"
"21.08.2019 09:30 - 21.08.2019 10:00","N/A","666"
"21.08.2019 10:00 - 21.08.2019 10:30","N/A","670"
"21.08.2019 10:30 - 21.08.2019 11:00","N/A","673"
"21.08.2019 11:00 - 21.08.2019 11:30","N/A","679"
"21.08.2019 11:30 - 21.08.2019 12:00","N/A","685"
"21.08.2019 12:00 - 21.08.2019 12:30","N/A","693"
"21.08.2019 12:30 - 21.08.2019 13:00","N/A","693"
"21.08.2019 13:00 - 21.08.2019 13:30","N/A","701"
"21.08.2019 13:30 - 21.08.2019 14:00","N/A","704"
"21.08.2019 14:00 - 21.08.2019 14:30","N/A","704"
"21.08.2019 14:30 - 21.08.2019 15:00","N/A","708"
"21.08.2019 15:00 - 21.08.2019 15:30","N/A","714"
"21.08.2019 15:30 - 21.08.2019 16:00","N/A","716"
"21.08.2019 16:00 - 21.08.2019 16:30","N/A","713"
"21.08.2019 16:30 - 21.08.2019 17:00","N/A","714"
"21.08.2019 17:00 - 21.08.2019 17:30","N/A","708"
"21.08.2019 17:30 - 21.08.2019 18:00","N/A","702"
"21.08.2019 18:00 - 21.08.2019 18:30","N/A","692"
"21.08.2019 18:30 - 21.08.2019 19:00","N/A","689"
"21.08.2019 19:00 - 21.08.2019 19:30","N/A","723"
"21.08.2019 19:30 - 21.08.2019 20:00","N/A","714"
"21.08.2019 20:00 - 21.08.2019 20:30","N/A","700"
"21.08.2019 20:30 - 21.08.2019 21:00","N/A","687"
"21.08.2019 21:00 - 21.08.2019 21:30","N/A","674"
"21.08.2019 21:30 - 21.08.2019 22:00","N/A","660"
"21.08.2019 22:00 - 21.08.2019 22:30","N/A","643"
"21.08.2019 22:30 - 21.08.2019 23:00","N/A","629"
"21.08.2019 23:00 - 21.08.2019 23:30","N/A","609"
"21.08.2019 23:30 - 22.08.2019 00:00","N/A","587"
"22.08.2019 00:00 - 22.08.2019 00:30","N/A","570"
"22.08.2019 00:30 - 22.08.2019 01:00","N/A","549"
"22.08.2019 01:00 - 22.08.2019 01:30","N/A","533"
"22.08.2019 01:30 - 22.08.2019 02:00","N/A","520"
"22.08.2019 02:00 - 22.08.2019 02:30","N/A","508"
"22.08.2019 02:30 - 22.08.2019 03:00","N/A","500"
"22.08.2019 03:00 - 22.08.2019 03:30","N/A","493"
"22.08.2019 03:30 - 22.08.2019 04:00","N/A","490"
"22.08.2019 04:00 - 22.08.2019 04:30","N/A","490"
"22.08.2019 04:30 - 22.08.2019 05:00","N/A","493"
"22.08.2019 05:00 - 22.08.2019 05:30","N/A","485"
"22.08.2019 05:30 - 22.08.2019 06:00","N/A","500"
"22.08.2019 06:00 - 22.08.2019 06:30","N/A","529"
"22.08.2019 06:30 - 22.08.2019 07:00","N/A","571"
"22.08.2019 07:00 - 22.08.2019 07:30","N/A","612"
"22.08.2019 07:30 - 22.08.2019 08:00","N/A","648"
"22.08.2019 08:00 - 22.08.2019 08:30","N/A","669"
"22.08.2019 08:30 - 22.08.2019 09:00","N/A","689"
"22.08.2019 09:00 - 22.08.2019 09:30","N/A","701"
"22.08.2019 09:30 - 22.08.2019 10:00","N/A","707"
"22.08.2019 10:00 - 22.08.2019 10:30","N/A","705"
"22.08.2019 10:30 - 22.08.2019 11:00","N/A","702"
"22.08.2019 11:00 - 22.08.2019 11:30","N/A","708"
"22.08.2019 11:30 - 22.08.2019 12:00","N/A","717"
"22.08.2019 12:00 - 22.08.2019 12:30","N/A","726"
"22.08.2019 12:30 - 22.08.2019 13:00","N/A","734"
"22.08.2019 13:00 - 22.08.2019 13:30","N/A","746"
"22.08.2019 13:30 - 22.08.2019 14:00","N/A","759"
"22.08.2019 14:00 - 22.08.2019 14:30","N/A","760"
"22.08.2019 14:30 - 22.08.2019 15:00","N/A","758"
"22.08.2019 15:00 - 22.08.2019 15:30","N/A","769"
"22.08.2019 15:30 - 22.08.2019 16:00","N/A","771"
"22.08.2019 16:00 - 22.08.2019 16:30","N/A","765"
"22.08.2019 16:30 - 22.08.2019 17:00","N/A","753"
"22.08.2019 17:00 - 22.08.2019 17:30","N/A","745"
"22.08.2019 17:30 - 22.08.2019 18:00","N/A","734"
"22.08.2019 18:00 - 22.08.2019 18:30","N/A","711"
"22.08.2019 18:30 - 22.08.2019 19:00","N/A","702"
"22.08.2019 19:00 - 22.08.2019 19:30","N/A","731"
"22.08.2019 19:30 - 22.08.2019 20:00","N/A","721"
"22.08.2019 20:00 - 22.08.2019 20:30","N/A","710"
"22.08.2019 20:30 - 22.08.2019 21:00","N/A","699"
"22.08.2019 21:00 - 22.08.2019 21:30","N/A","689"
"22.08.2019 21:30 - 22.08.2019 22:00","N/A","679"
"22.08.2019 22:00 - 22.08.2019 22:30","N/A","666"
"22.08.2019 22:30 - 22.08.2019 23:00","N/A","651"
"22.08.2019 23:00 - 22.08.2019 23:30","N/A","633"
"22.08.2019 23:30 - 23.08.2019 00:00","N/A","616"
"23.08.2019 00:00 - 23.08.2019 00:30","N/A","597"
"23.08.2019 00:30 - 23.08.2019 01:00","N/A","581"
"23.08.2019 01:00 - 23.08.2019 01:30","N/A","564"
"23.08.2019 01:30 - 23.08.2019 02:00","N/A","550"
"23.08.2019 02:00 - 23.08.2019 02:30","N/A","538"
"23.08.2019 02:30 - 23.08.2019 03:00","N/A","528"
"23.08.2019 03:00 - 23.08.2019 03:30","N/A","519"
"23.08.2019 03:30 - 23.08.2019 04:00","N/A","514"
"23.08.2019 04:00 - 23.08.2019 04:30","N/A","514"
"23.08.2019 04:30 - 23.08.2019 05:00","N/A","515"
"23.08.2019 05:00 - 23.08.2019 05:30","N/A","508"
"23.08.2019 05:30 - 23.08.2019 06:00","N/A","521"
"23.08.2019 06:00 - 23.08.2019 06:30","N/A","548"
"23.08.2019 06:30 - 23.08.2019 07:00","N/A","594"
"23.08.2019 07:00 - 23.08.2019 07:30","N/A","630"
"23.08.2019 07:30 - 23.08.2019 08:00","N/A","666"
"23.08.2019 08:00 - 23.08.2019 08:30","N/A","688"
"23.08.2019 08:30 - 23.08.2019 09:00","N/A","708"
"23.08.2019 09:00 - 23.08.2019 09:30","N/A","720"
"23.08.2019 09:30 - 23.08.2019 10:00","N/A","726"
"23.08.2019 10:00 - 23.08.2019 10:30","N/A","721"
"23.08.2019 10:30 - 23.08.2019 11:00","N/A","720"
"23.08.2019 11:00 - 23.08.2019 11:30","N/A","727"
"23.08.2019 11:30 - 23.08.2019 12:00","N/A","737"
"23.08.2019 12:00 - 23.08.2019 12:30","N/A","750"
"23.08.2019 12:30 - 23.08.2019 13:00","N/A","757"
"23.08.2019 13:00 - 23.08.2019 13:30","N/A","769"
"23.08.2019 13:30 - 23.08.2019 14:00","N/A","777"
"23.08.2019 14:00 - 23.08.2019 14:30","N/A","781"
"23.08.2019 14:30 - 23.08.2019 15:00","N/A","787"
"23.08.2019 15:00 - 23.08.2019 15:30","N/A","795"
"23.08.2019 15:30 - 23.08.2019 16:00","N/A","794"
"23.08.2019 16:00 - 23.08.2019 16:30","N/A","788"
"23.08.2019 16:30 - 23.08.2019 17:00","N/A","782"
"23.08.2019 17:00 - 23.08.2019 17:30","N/A","776"
"23.08.2019 17:30 - 23.08.2019 18:00","N/A","762"
"23.08.2019 18:00 - 23.08.2019 18:30","N/A","740"
"23.08.2019 18:30 - 23.08.2019 19:00","N/A","731"
"23.08.2019 19:00 - 23.08.2019 19:30","N/A","755"
"23.08.2019 19:30 - 23.08.2019 20:00","N/A","745"
"23.08.2019 20:00 - 23.08.2019 20:30","N/A","730"
"23.08.2019 20:30 - 23.08.2019 21:00","N/A","718"
"23.08.2019 21:00 - 23.08.2019 21:30","N/A","708"
"23.08.2019 21:30 - 23.08.2019 22:00","N/A","695"
"23.08.2019 22:00 - 23.08.2019 22:30","N/A","683"
"23.08.2019 22:30 - 23.08.2019 23:00","N/A","676"
"23.08.2019 23:00 - 23.08.2019 23:30","N/A","660"
"23.08.2019 23:30 - 24.08.2019 00:00","N/A","640"
"24.08.2019 00:00 - 24.08.2019 00:30","N/A","627"
"24.08.2019 00:30 - 24.08.2019 01:00","N/A","607"
"24.08.2019 01:00 - 24.08.2019 01:30","N/A","593"
"24.08.2019 01:30 - 24.08.2019 02:00","N/A","580"
"24.08.2019 02:00 - 24.08.2019 02:30","N/A","568"
"24.08.2019 02:30 - 24.08.2019 03:00","N/A","559"
"24.08.2019 03:00 - 24.08.2019 03:30","N/A","549"
"24.08.2019 03:30 - 24.08.2019 04:00","N/A","542"
"24.08.2019 04:00 - 24.08.2019 04:30","N/A","539"
"24.08.2019 04:30 - 24.08.2019 05:00","N/A","535"
"24.08.2019 05:00 - 24.08.2019 05:30","N/A","522"
"24.08.2019 05:30 - 24.08.2019 06:00","N/A","525"
"24.08.2019 06:00 - 24.08.2019 06:30","N/A","538"
"24.08.2019 06:30 - 24.08.2019 07:00","N/A","560"
"24.08.2019 07:00 - 24.08.2019 07:30","N/A","581"
"24.08.2019 07:30 - 24.08.2019 08:00","N/A","608"
"24.08.2019 08:00 - 24.08.2019 08:30","N/A","622"
"24.08.2019 08:30 - 24.08.2019 09:00","N/A","643"
"24.08.2019 09:00 - 24.08.2019 09:30","N/A","657"
"24.08.2019 09:30 - 24.08.2019 10:00","N/A","661"
"24.08.2019 10:00 - 24.08.2019 10:30","N/A","665"
"24.08.2019 10:30 - 24.08.2019 11:00","N/A","671"
"24.08.2019 11:00 - 24.08.2019 11:30","N/A","682"
"24.08.2019 11:30 - 24.08.2019 12:00","N/A","691"
"24.08.2019 12:00 - 24.08.2019 12:30","N/A","704"
"24.08.2019 12:30 - 24.08.2019 13:00","N/A","718"
"24.08.2019 13:00 - 24.08.2019 13:30","N/A","726"
"24.08.2019 13:30 - 24.08.2019 14:00","N/A","740"
"24.08.2019 14:00 - 24.08.2019 14:30","N/A","749"
"24.08.2019 14:30 - 24.08.2019 15:00","N/A","759"
"24.08.2019 15:00 - 24.08.2019 15:30","N/A","760"
"24.08.2019 15:30 - 24.08.2019 16:00","N/A","766"
"24.08.2019 16:00 - 24.08.2019 16:30","N/A","766"
"24.08.2019 16:30 - 24.08.2019 17:00","N/A","761"
"24.08.2019 17:00 - 24.08.2019 17:30","N/A","759"
"24.08.2019 17:30 - 24.08.2019 18:00","N/A","751"
"24.08.2019 18:00 - 24.08.2019 18:30","N/A","739"
"24.08.2019 18:30 - 24.08.2019 19:00","N/A","733"
"24.08.2019 19:00 - 24.08.2019 19:30","N/A","764"
"24.08.2019 19:30 - 24.08.2019 20:00","N/A","753"
"24.08.2019 20:00 - 24.08.2019 20:30","N/A","742"
"24.08.2019 20:30 - 24.08.2019 21:00","N/A","731"
"24.08.2019 21:00 - 24.08.2019 21:30","N/A","725"
"24.08.2019 21:30 - 24.08.2019 22:00","N/A","717"
"24.08.2019 22:00 - 24.08.2019 22:30","N/A","710"
"24.08.2019 22:30 - 24.08.2019 23:00","N/A","697"
"24.08.2019 23:00 - 24.08.2019 23:30","N/A","681"
"24.08.2019 23:30 - 25.08.2019 00:00","N/A","664"
"25.08.2019 00:00 - 25.08.2019 00:30","N/A","649"
"25.08.2019 00:30 - 25.08.2019 01:00","N/A","632"
"25.08.2019 01:00 - 25.08.2019 01:30","N/A","614"
"25.08.2019 01:30 - 25.08.2019 02:00","N/A","599"
"25.08.2019 02:00 - 25.08.2019 02:30","N/A","587"
"25.08.2019 02:30 - 25.08.2019 03:00","N/A","575"
"25.08.2019 03:00 - 25.08.2019 03:30","N/A","563"
