"Time (CET)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"25.05.2019 20:45 - 25.05.2019 21:00","455","453"
"25.05.2019 21:00 - 25.05.2019 21:15","454","460"
"25.05.2019 21:15 - 25.05.2019 21:30","461","458"
"25.05.2019 21:30 - 25.05.2019 21:45","466","461"
"25.05.2019 21:45 - 25.05.2019 22:00","469","460"
"25.05.2019 22:00 - 25.05.2019 22:15","472","457"
"25.05.2019 22:15 - 25.05.2019 22:30","491","458"
"25.05.2019 22:30 - 25.05.2019 22:45","489","453"
"25.05.2019 22:45 - 25.05.2019 23:00","481","449"
"25.05.2019 23:00 - 25.05.2019 23:15","473","448"
"25.05.2019 23:15 - 25.05.2019 23:30","464","443"
"25.05.2019 23:30 - 25.05.2019 23:45","457","451"
"25.05.2019 23:45 - 26.05.2019 00:00","448","451"
"26.05.2019 00:00 - 26.05.2019 00:15","437","463"
"26.05.2019 00:15 - 26.05.2019 00:30","442","474"
"26.05.2019 00:30 - 26.05.2019 00:45","437","476"
"26.05.2019 00:45 - 26.05.2019 01:00","430","470"
"26.05.2019 01:00 - 26.05.2019 01:15","427","459"
"26.05.2019 01:15 - 26.05.2019 01:30","417","452"
"26.05.2019 01:30 - 26.05.2019 01:45","410","449"
"26.05.2019 01:45 - 26.05.2019 02:00","406","438"
"26.05.2019 02:00 - 26.05.2019 02:15","403","433"
"26.05.2019 02:15 - 26.05.2019 02:30","402","426"
"26.05.2019 02:30 - 26.05.2019 02:45","401","420"
"26.05.2019 02:45 - 26.05.2019 03:00","398","413"
"26.05.2019 03:00 - 26.05.2019 03:15","396","402"
"26.05.2019 03:15 - 26.05.2019 03:30","395","393"
"26.05.2019 03:30 - 26.05.2019 03:45","390","386"
"26.05.2019 03:45 - 26.05.2019 04:00","389","379"
"26.05.2019 04:00 - 26.05.2019 04:15","386","376"
"26.05.2019 04:15 - 26.05.2019 04:30","385","373"
"26.05.2019 04:30 - 26.05.2019 04:45","388","372"
"26.05.2019 04:45 - 26.05.2019 05:00","390","371"
"26.05.2019 05:00 - 26.05.2019 05:15","390","370"
"26.05.2019 05:15 - 26.05.2019 05:30","394","374"
"26.05.2019 05:30 - 26.05.2019 05:45","395","380"
"26.05.2019 05:45 - 26.05.2019 06:00","396","377"
"26.05.2019 06:00 - 26.05.2019 06:15","396","379"
"26.05.2019 06:15 - 26.05.2019 06:30","372","380"
"26.05.2019 06:30 - 26.05.2019 06:45","353","382"
"26.05.2019 06:45 - 26.05.2019 07:00","348","384"
"26.05.2019 07:00 - 26.05.2019 07:15","348","386"
"26.05.2019 07:15 - 26.05.2019 07:30","347","394"
"26.05.2019 07:30 - 26.05.2019 07:45","354","390"
"26.05.2019 07:45 - 26.05.2019 08:00","357","380"
"26.05.2019 08:00 - 26.05.2019 08:15","363","376"
"26.05.2019 08:15 - 26.05.2019 08:30","368","366"
"26.05.2019 08:30 - 26.05.2019 08:45","372","357"
"26.05.2019 08:45 - 26.05.2019 09:00","373","353"
"26.05.2019 09:00 - 26.05.2019 09:15","380","355"
"26.05.2019 09:15 - 26.05.2019 09:30","375","359"
"26.05.2019 09:30 - 26.05.2019 09:45","382","363"
"26.05.2019 09:45 - 26.05.2019 10:00","385","361"
"26.05.2019 10:00 - 26.05.2019 10:15","392","369"
"26.05.2019 10:15 - 26.05.2019 10:30","396","375"
"26.05.2019 10:30 - 26.05.2019 10:45","399","375"
"26.05.2019 10:45 - 26.05.2019 11:00","402","372"
"26.05.2019 11:00 - 26.05.2019 11:15","407","381"
"26.05.2019 11:15 - 26.05.2019 11:30","405","389"
"26.05.2019 11:30 - 26.05.2019 11:45","409","394"
"26.05.2019 11:45 - 26.05.2019 12:00","410","397"
"26.05.2019 12:00 - 26.05.2019 12:15","414","400"
"26.05.2019 12:15 - 26.05.2019 12:30","418","404"
"26.05.2019 12:30 - 26.05.2019 12:45","417","411"
"26.05.2019 12:45 - 26.05.2019 13:00","408","410"
"26.05.2019 13:00 - 26.05.2019 13:15","401","411"
"26.05.2019 13:15 - 26.05.2019 13:30","392","408"
"26.05.2019 13:30 - 26.05.2019 13:45","388","408"
"26.05.2019 13:45 - 26.05.2019 14:00","380","411"
"26.05.2019 14:00 - 26.05.2019 14:15","379","409"
"26.05.2019 14:15 - 26.05.2019 14:30","375","410"
"26.05.2019 14:30 - 26.05.2019 14:45","375","409"
"26.05.2019 14:45 - 26.05.2019 15:00","368","400"
"26.05.2019 15:00 - 26.05.2019 15:15","364","399"
"26.05.2019 15:15 - 26.05.2019 15:30","368","393"
"26.05.2019 15:30 - 26.05.2019 15:45","365","388"
"26.05.2019 15:45 - 26.05.2019 16:00","361","379"
"26.05.2019 16:00 - 26.05.2019 16:15","367","378"
"26.05.2019 16:15 - 26.05.2019 16:30","370","373"
"26.05.2019 16:30 - 26.05.2019 16:45","373","371"
"26.05.2019 16:45 - 26.05.2019 17:00","375","371"
"26.05.2019 17:00 - 26.05.2019 17:15","375","371"
"26.05.2019 17:15 - 26.05.2019 17:30","376","373"
"26.05.2019 17:30 - 26.05.2019 17:45","383","374"
"26.05.2019 17:45 - 26.05.2019 18:00","388","371"
"26.05.2019 18:00 - 26.05.2019 18:15","398","379"
"26.05.2019 18:15 - 26.05.2019 18:30","400","374"
"26.05.2019 18:30 - 26.05.2019 18:45","405","380"
"26.05.2019 18:45 - 26.05.2019 19:00","408","386"
"26.05.2019 19:00 - 26.05.2019 19:15","412","393"
"26.05.2019 19:15 - 26.05.2019 19:30","423","400"
"26.05.2019 19:30 - 26.05.2019 19:45","428","407"
"26.05.2019 19:45 - 26.05.2019 20:00","428","405"
"26.05.2019 20:00 - 26.05.2019 20:15","431","408"
"26.05.2019 20:15 - 26.05.2019 20:30","430","411"
"26.05.2019 20:30 - 26.05.2019 20:45","428","414"
"26.05.2019 20:45 - 26.05.2019 21:00","423","417"
"26.05.2019 21:00 - 26.05.2019 21:15","419","432"
"26.05.2019 21:15 - 26.05.2019 21:30","426","435"
"26.05.2019 21:30 - 26.05.2019 21:45","426","440"
"26.05.2019 21:45 - 26.05.2019 22:00","428","439"
"26.05.2019 22:00 - 26.05.2019 22:15","429","435"
"26.05.2019 22:15 - 26.05.2019 22:30","449","428"
"26.05.2019 22:30 - 26.05.2019 22:45","447","423"
"26.05.2019 22:45 - 26.05.2019 23:00","438","420"
"26.05.2019 23:00 - 26.05.2019 23:15","431","419"
"26.05.2019 23:15 - 26.05.2019 23:30","420","419"
"26.05.2019 23:30 - 26.05.2019 23:45","411","422"
"26.05.2019 23:45 - 27.05.2019 00:00","404","433"
"27.05.2019 00:00 - 27.05.2019 00:15","398","435"
"27.05.2019 00:15 - 27.05.2019 00:30","385","438"
"27.05.2019 00:30 - 27.05.2019 00:45","380","434"
"27.05.2019 00:45 - 27.05.2019 01:00","374","424"
"27.05.2019 01:00 - 27.05.2019 01:15","370","420"
"27.05.2019 01:15 - 27.05.2019 01:30","365","419"
"27.05.2019 01:30 - 27.05.2019 01:45","361","416"
"27.05.2019 01:45 - 27.05.2019 02:00","361","409"
"27.05.2019 02:00 - 27.05.2019 02:15","359","400"
"27.05.2019 02:15 - 27.05.2019 02:30","353","386"
"27.05.2019 02:30 - 27.05.2019 02:45","354","377"
"27.05.2019 02:45 - 27.05.2019 03:00","353","367"
"27.05.2019 03:00 - 27.05.2019 03:15","353","365"
"27.05.2019 03:15 - 27.05.2019 03:30","363","358"
"27.05.2019 03:30 - 27.05.2019 03:45","366","356"
"27.05.2019 03:45 - 27.05.2019 04:00","366","353"
"27.05.2019 04:00 - 27.05.2019 04:15","367","347"
"27.05.2019 04:15 - 27.05.2019 04:30","372","350"
"27.05.2019 04:30 - 27.05.2019 04:45","375","353"
"27.05.2019 04:45 - 27.05.2019 05:00","380","358"
"27.05.2019 05:00 - 27.05.2019 05:15","386","358"
"27.05.2019 05:15 - 27.05.2019 05:30","401","365"
"27.05.2019 05:30 - 27.05.2019 05:45","408","362"
"27.05.2019 05:45 - 27.05.2019 06:00","418","360"
"27.05.2019 06:00 - 27.05.2019 06:15","429","359"
"27.05.2019 06:15 - 27.05.2019 06:30","424","366"
"27.05.2019 06:30 - 27.05.2019 06:45","418","370"
"27.05.2019 06:45 - 27.05.2019 07:00","425","377"
"27.05.2019 07:00 - 27.05.2019 07:15","439","382"
"27.05.2019 07:15 - 27.05.2019 07:30","465","398"
"27.05.2019 07:30 - 27.05.2019 07:45","479","407"
"27.05.2019 07:45 - 27.05.2019 08:00","484","404"
"27.05.2019 08:00 - 27.05.2019 08:15","496","414"
"27.05.2019 08:15 - 27.05.2019 08:30","518","416"
"27.05.2019 08:30 - 27.05.2019 08:45","529","421"
"27.05.2019 08:45 - 27.05.2019 09:00","534","432"
"27.05.2019 09:00 - 27.05.2019 09:15","537","450"
"27.05.2019 09:15 - 27.05.2019 09:30","544","473"
"27.05.2019 09:30 - 27.05.2019 09:45","551","493"
"27.05.2019 09:45 - 27.05.2019 10:00","551","512"
"27.05.2019 10:00 - 27.05.2019 10:15","555","527"
"27.05.2019 10:15 - 27.05.2019 10:30","566","543"
"27.05.2019 10:30 - 27.05.2019 10:45","567","554"
"27.05.2019 10:45 - 27.05.2019 11:00","567","560"
"27.05.2019 11:00 - 27.05.2019 11:15","566","568"
"27.05.2019 11:15 - 27.05.2019 11:30","570","575"
"27.05.2019 11:30 - 27.05.2019 11:45","573","577"
"27.05.2019 11:45 - 27.05.2019 12:00","579","574"
"27.05.2019 12:00 - 27.05.2019 12:15","581","577"
"27.05.2019 12:15 - 27.05.2019 12:30","574","584"
"27.05.2019 12:30 - 27.05.2019 12:45","567","587"
"27.05.2019 12:45 - 27.05.2019 13:00","559","586"
"27.05.2019 13:00 - 27.05.2019 13:15","554","590"
"27.05.2019 13:15 - 27.05.2019 13:30","549","594"
"27.05.2019 13:30 - 27.05.2019 13:45","547","597"
"27.05.2019 13:45 - 27.05.2019 14:00","542","601"
"27.05.2019 14:00 - 27.05.2019 14:15","540","601"
"27.05.2019 14:15 - 27.05.2019 14:30","526","587"
"27.05.2019 14:30 - 27.05.2019 14:45","526","573"
"27.05.2019 14:45 - 27.05.2019 15:00","526","561"
"27.05.2019 15:00 - 27.05.2019 15:15","524","560"
"27.05.2019 15:15 - 27.05.2019 15:30","520","561"
"27.05.2019 15:30 - 27.05.2019 15:45","516","559"
"27.05.2019 15:45 - 27.05.2019 16:00","513","564"
"27.05.2019 16:00 - 27.05.2019 16:15","510","566"
"27.05.2019 16:15 - 27.05.2019 16:30","518","562"
"27.05.2019 16:30 - 27.05.2019 16:45","518","560"
"27.05.2019 16:45 - 27.05.2019 17:00","519","550"
"27.05.2019 17:00 - 27.05.2019 17:15","519","549"
"27.05.2019 17:15 - 27.05.2019 17:30","524","544"
"27.05.2019 17:30 - 27.05.2019 17:45","533","546"
"27.05.2019 17:45 - 27.05.2019 18:00","541","543"
"27.05.2019 18:00 - 27.05.2019 18:15","549","535"
"27.05.2019 18:15 - 27.05.2019 18:30","550","526"
"27.05.2019 18:30 - 27.05.2019 18:45","553","534"
"27.05.2019 18:45 - 27.05.2019 19:00","555","526"
"27.05.2019 19:00 - 27.05.2019 19:15","558","532"
"27.05.2019 19:15 - 27.05.2019 19:30","551","533"
"27.05.2019 19:30 - 27.05.2019 19:45","548","542"
"27.05.2019 19:45 - 27.05.2019 20:00","541","548"
"27.05.2019 20:00 - 27.05.2019 20:15","535","554"
"27.05.2019 20:15 - 27.05.2019 20:30","523","550"
"27.05.2019 20:30 - 27.05.2019 20:45","515","552"
"27.05.2019 20:45 - 27.05.2019 21:00","503","556"
"27.05.2019 21:00 - 27.05.2019 21:15","498","558"
"27.05.2019 21:15 - 27.05.2019 21:30","497","550"
"27.05.2019 21:30 - 27.05.2019 21:45","494","549"
"27.05.2019 21:45 - 27.05.2019 22:00","493","551"
"27.05.2019 22:00 - 27.05.2019 22:15","487","545"
"27.05.2019 22:15 - 27.05.2019 22:30","511","542"
"27.05.2019 22:30 - 27.05.2019 22:45","509","540"
"27.05.2019 22:45 - 27.05.2019 23:00","498","536"
"27.05.2019 23:00 - 27.05.2019 23:15","487","529"
"27.05.2019 23:15 - 27.05.2019 23:30","474","519"
"27.05.2019 23:30 - 27.05.2019 23:45","463","517"
"27.05.2019 23:45 - 28.05.2019 00:00","453","516"
"28.05.2019 00:00 - 28.05.2019 00:15","443","517"
"28.05.2019 00:15 - 28.05.2019 00:30","431","522"
"28.05.2019 00:30 - 28.05.2019 00:45","427","522"
"28.05.2019 00:45 - 28.05.2019 01:00","421","513"
"28.05.2019 01:00 - 28.05.2019 01:15","415","504"
"28.05.2019 01:15 - 28.05.2019 01:30","403","488"
"28.05.2019 01:30 - 28.05.2019 01:45","399","480"
"28.05.2019 01:45 - 28.05.2019 02:00","397","468"
"28.05.2019 02:00 - 28.05.2019 02:15","395","461"
"28.05.2019 02:15 - 28.05.2019 02:30","390","450"
"28.05.2019 02:30 - 28.05.2019 02:45","390","443"
"28.05.2019 02:45 - 28.05.2019 03:00","390","435"
"28.05.2019 03:00 - 28.05.2019 03:15","390","422"
"28.05.2019 03:15 - 28.05.2019 03:30","393","415"
"28.05.2019 03:30 - 28.05.2019 03:45","394","411"
"28.05.2019 03:45 - 28.05.2019 04:00","395","412"
"28.05.2019 04:00 - 28.05.2019 04:15","395","407"
"28.05.2019 04:15 - 28.05.2019 04:30","402","406"
"28.05.2019 04:30 - 28.05.2019 04:45","403","402"
"28.05.2019 04:45 - 28.05.2019 05:00","407","402"
"28.05.2019 05:00 - 28.05.2019 05:15","410","403"
"28.05.2019 05:15 - 28.05.2019 05:30","425","412"
"28.05.2019 05:30 - 28.05.2019 05:45","431","412"
"28.05.2019 05:45 - 28.05.2019 06:00","428","409"
"28.05.2019 06:00 - 28.05.2019 06:15","436","409"
"28.05.2019 06:15 - 28.05.2019 06:30","445","413"
"28.05.2019 06:30 - 28.05.2019 06:45","446","414"
"28.05.2019 06:45 - 28.05.2019 07:00","454","414"
"28.05.2019 07:00 - 28.05.2019 07:15","464","424"
"28.05.2019 07:15 - 28.05.2019 07:30","483","437"
"28.05.2019 07:30 - 28.05.2019 07:45","496","441"
"28.05.2019 07:45 - 28.05.2019 08:00","506","444"
"28.05.2019 08:00 - 28.05.2019 08:15","514","455"
"28.05.2019 08:15 - 28.05.2019 08:30","526","455"
"28.05.2019 08:30 - 28.05.2019 08:45","537","454"
"28.05.2019 08:45 - 28.05.2019 09:00","542","456"
"28.05.2019 09:00 - 28.05.2019 09:15","548","466"
"28.05.2019 09:15 - 28.05.2019 09:30","549","495"
"28.05.2019 09:30 - 28.05.2019 09:45","549","517"
"28.05.2019 09:45 - 28.05.2019 10:00","554","534"
"28.05.2019 10:00 - 28.05.2019 10:15","556","542"
"28.05.2019 10:15 - 28.05.2019 10:30","562","543"
"28.05.2019 10:30 - 28.05.2019 10:45","565","544"
"28.05.2019 10:45 - 28.05.2019 11:00","563","547"
"28.05.2019 11:00 - 28.05.2019 11:15","561","544"
"28.05.2019 11:15 - 28.05.2019 11:30","555","550"
"28.05.2019 11:30 - 28.05.2019 11:45","562","561"
"28.05.2019 11:45 - 28.05.2019 12:00","570","561"
"28.05.2019 12:00 - 28.05.2019 12:15","572","558"
"28.05.2019 12:15 - 28.05.2019 12:30","566","565"
"28.05.2019 12:30 - 28.05.2019 12:45","561","561"
"28.05.2019 12:45 - 28.05.2019 13:00","555","556"
"28.05.2019 13:00 - 28.05.2019 13:15","558","562"
"28.05.2019 13:15 - 28.05.2019 13:30","559","565"
"28.05.2019 13:30 - 28.05.2019 13:45","558","572"
"28.05.2019 13:45 - 28.05.2019 14:00","552","583"
"28.05.2019 14:00 - 28.05.2019 14:15","550","582"
"28.05.2019 14:15 - 28.05.2019 14:30","538","565"
"28.05.2019 14:30 - 28.05.2019 14:45","539","543"
"28.05.2019 14:45 - 28.05.2019 15:00","533","513"
"28.05.2019 15:00 - 28.05.2019 15:15","523","523"
"28.05.2019 15:15 - 28.05.2019 15:30","525","547"
"28.05.2019 15:30 - 28.05.2019 15:45","524","541"
"28.05.2019 15:45 - 28.05.2019 16:00","519","532"
"28.05.2019 16:00 - 28.05.2019 16:15","519","517"
"28.05.2019 16:15 - 28.05.2019 16:30","520","511"
"28.05.2019 16:30 - 28.05.2019 16:45","524","520"
"28.05.2019 16:45 - 28.05.2019 17:00","524","517"
"28.05.2019 17:00 - 28.05.2019 17:15","523","516"
"28.05.2019 17:15 - 28.05.2019 17:30","520","511"
"28.05.2019 17:30 - 28.05.2019 17:45","519","516"
"28.05.2019 17:45 - 28.05.2019 18:00","526","512"
"28.05.2019 18:00 - 28.05.2019 18:15","535","509"
"28.05.2019 18:15 - 28.05.2019 18:30","533","501"
"28.05.2019 18:30 - 28.05.2019 18:45","533","501"
"28.05.2019 18:45 - 28.05.2019 19:00","537","508"
"28.05.2019 19:00 - 28.05.2019 19:15","536","523"
"28.05.2019 19:15 - 28.05.2019 19:30","540","535"
"28.05.2019 19:30 - 28.05.2019 19:45","540","526"
"28.05.2019 19:45 - 28.05.2019 20:00","536","533"
"28.05.2019 20:00 - 28.05.2019 20:15","530","535"
"28.05.2019 20:15 - 28.05.2019 20:30","525","526"
"28.05.2019 20:30 - 28.05.2019 20:45","519","524"
"28.05.2019 20:45 - 28.05.2019 21:00","505","526"
"28.05.2019 21:00 - 28.05.2019 21:15","495","533"
"28.05.2019 21:15 - 28.05.2019 21:30","496","538"
"28.05.2019 21:30 - 28.05.2019 21:45","495","544"
"28.05.2019 21:45 - 28.05.2019 22:00","492","535"
"28.05.2019 22:00 - 28.05.2019 22:15","497","532"
"28.05.2019 22:15 - 28.05.2019 22:30","507","521"
"28.05.2019 22:30 - 28.05.2019 22:45","504","520"
"28.05.2019 22:45 - 28.05.2019 23:00","493","508"
"28.05.2019 23:00 - 28.05.2019 23:15","483","502"
"28.05.2019 23:15 - 28.05.2019 23:30","471","499"
"28.05.2019 23:30 - 28.05.2019 23:45","461","501"
"28.05.2019 23:45 - 29.05.2019 00:00","452","501"
"29.05.2019 00:00 - 29.05.2019 00:15","444","505"
"29.05.2019 00:15 - 29.05.2019 00:30","429","511"
"29.05.2019 00:30 - 29.05.2019 00:45","421","511"
"29.05.2019 00:45 - 29.05.2019 01:00","412","501"
"29.05.2019 01:00 - 29.05.2019 01:15","410","495"
"29.05.2019 01:15 - 29.05.2019 01:30","408","481"
"29.05.2019 01:30 - 29.05.2019 01:45","403","475"
"29.05.2019 01:45 - 29.05.2019 02:00","400","463"
"29.05.2019 02:00 - 29.05.2019 02:15","397","451"
"29.05.2019 02:15 - 29.05.2019 02:30","395","437"
"29.05.2019 02:30 - 29.05.2019 02:45","394","424"
"29.05.2019 02:45 - 29.05.2019 03:00","395","411"
"29.05.2019 03:00 - 29.05.2019 03:15","394","414"
"29.05.2019 03:15 - 29.05.2019 03:30","403","411"
"29.05.2019 03:30 - 29.05.2019 03:45","404","409"
"29.05.2019 03:45 - 29.05.2019 04:00","404","412"
"29.05.2019 04:00 - 29.05.2019 04:15","404","409"
"29.05.2019 04:15 - 29.05.2019 04:30","413","411"
"29.05.2019 04:30 - 29.05.2019 04:45","415","413"
"29.05.2019 04:45 - 29.05.2019 05:00","419","413"
"29.05.2019 05:00 - 29.05.2019 05:15","424","413"
"29.05.2019 05:15 - 29.05.2019 05:30","438","419"
"29.05.2019 05:30 - 29.05.2019 05:45","440","422"
"29.05.2019 05:45 - 29.05.2019 06:00","438","418"
"29.05.2019 06:00 - 29.05.2019 06:15","451","423"
"29.05.2019 06:15 - 29.05.2019 06:30","441","423"
"29.05.2019 06:30 - 29.05.2019 06:45","440","425"
"29.05.2019 06:45 - 29.05.2019 07:00","448","425"
"29.05.2019 07:00 - 29.05.2019 07:15","466","435"
"29.05.2019 07:15 - 29.05.2019 07:30","495","447"
"29.05.2019 07:30 - 29.05.2019 07:45","508","454"
"29.05.2019 07:45 - 29.05.2019 08:00","522","448"
"29.05.2019 08:00 - 29.05.2019 08:15","532","460"
"29.05.2019 08:15 - 29.05.2019 08:30","545","461"
"29.05.2019 08:30 - 29.05.2019 08:45","549","456"
"29.05.2019 08:45 - 29.05.2019 09:00","549","462"
"29.05.2019 09:00 - 29.05.2019 09:15","555","484"
"29.05.2019 09:15 - 29.05.2019 09:30","558","498"
"29.05.2019 09:30 - 29.05.2019 09:45","556","510"
"29.05.2019 09:45 - 29.05.2019 10:00","551","517"
"29.05.2019 10:00 - 29.05.2019 10:15","550","522"
"29.05.2019 10:15 - 29.05.2019 10:30","551","526"
"29.05.2019 10:30 - 29.05.2019 10:45","553","532"
"29.05.2019 10:45 - 29.05.2019 11:00","553","536"
"29.05.2019 11:00 - 29.05.2019 11:15","558","542"
"29.05.2019 11:15 - 29.05.2019 11:30","556","539"
"29.05.2019 11:30 - 29.05.2019 11:45","568","539"
"29.05.2019 11:45 - 29.05.2019 12:00","572","539"
"29.05.2019 12:00 - 29.05.2019 12:15","575","545"
"29.05.2019 12:15 - 29.05.2019 12:30","567","557"
"29.05.2019 12:30 - 29.05.2019 12:45","559","559"
"29.05.2019 12:45 - 29.05.2019 13:00","551","562"
"29.05.2019 13:00 - 29.05.2019 13:15","540","566"
"29.05.2019 13:15 - 29.05.2019 13:30","540","570"
"29.05.2019 13:30 - 29.05.2019 13:45","539","572"
"29.05.2019 13:45 - 29.05.2019 14:00","536","578"
"29.05.2019 14:00 - 29.05.2019 14:15","531","577"
"29.05.2019 14:15 - 29.05.2019 14:30","522","573"
"29.05.2019 14:30 - 29.05.2019 14:45","521","566"
"29.05.2019 14:45 - 29.05.2019 15:00","520","555"
"29.05.2019 15:00 - 29.05.2019 15:15","514","553"
"29.05.2019 15:15 - 29.05.2019 15:30","512","556"
"29.05.2019 15:30 - 29.05.2019 15:45","509","556"
"29.05.2019 15:45 - 29.05.2019 16:00","507","549"
"29.05.2019 16:00 - 29.05.2019 16:15","505","542"
"29.05.2019 16:15 - 29.05.2019 16:30","509","539"
"29.05.2019 16:30 - 29.05.2019 16:45","514","537"
"29.05.2019 16:45 - 29.05.2019 17:00","516","525"
"29.05.2019 17:00 - 29.05.2019 17:15","519","520"
"29.05.2019 17:15 - 29.05.2019 17:30","529","520"
"29.05.2019 17:30 - 29.05.2019 17:45","535","523"
"29.05.2019 17:45 - 29.05.2019 18:00","540","526"
"29.05.2019 18:00 - 29.05.2019 18:15","546","528"
"29.05.2019 18:15 - 29.05.2019 18:30","544","536"
"29.05.2019 18:30 - 29.05.2019 18:45","546","542"
"29.05.2019 18:45 - 29.05.2019 19:00","546","541"
"29.05.2019 19:00 - 29.05.2019 19:15","549","547"
"29.05.2019 19:15 - 29.05.2019 19:30","551","549"
"29.05.2019 19:30 - 29.05.2019 19:45","556","549"
"29.05.2019 19:45 - 29.05.2019 20:00","558","547"
"29.05.2019 20:00 - 29.05.2019 20:15","555","555"
"29.05.2019 20:15 - 29.05.2019 20:30","543","545"
"29.05.2019 20:30 - 29.05.2019 20:45","539","545"
"29.05.2019 20:45 - 29.05.2019 21:00","532","543"
"29.05.2019 21:00 - 29.05.2019 21:15","528","545"
"29.05.2019 21:15 - 29.05.2019 21:30","520","541"
"29.05.2019 21:30 - 29.05.2019 21:45","516","543"
"29.05.2019 21:45 - 29.05.2019 22:00","512","543"
"29.05.2019 22:00 - 29.05.2019 22:15","511","542"
"29.05.2019 22:15 - 29.05.2019 22:30","523","532"
"29.05.2019 22:30 - 29.05.2019 22:45","522","531"
"29.05.2019 22:45 - 29.05.2019 23:00","513","523"
"29.05.2019 23:00 - 29.05.2019 23:15","504","525"
"29.05.2019 23:15 - 29.05.2019 23:30","486","512"
"29.05.2019 23:30 - 29.05.2019 23:45","476","503"
"29.05.2019 23:45 - 30.05.2019 00:00","466","494"
"30.05.2019 00:00 - 30.05.2019 00:15","456","498"
"30.05.2019 00:15 - 30.05.2019 00:30","430","504"
"30.05.2019 00:30 - 30.05.2019 00:45","423","500"
"30.05.2019 00:45 - 30.05.2019 01:00","417","486"
"30.05.2019 01:00 - 30.05.2019 01:15","409","480"
"30.05.2019 01:15 - 30.05.2019 01:30","397","474"
"30.05.2019 01:30 - 30.05.2019 01:45","389","464"
"30.05.2019 01:45 - 30.05.2019 02:00","386","453"
"30.05.2019 02:00 - 30.05.2019 02:15","385","445"
"30.05.2019 02:15 - 30.05.2019 02:30","382","437"
"30.05.2019 02:30 - 30.05.2019 02:45","382","428"
"30.05.2019 02:45 - 30.05.2019 03:00","379","424"
"30.05.2019 03:00 - 30.05.2019 03:15","376","415"
"30.05.2019 03:15 - 30.05.2019 03:30","378","408"
"30.05.2019 03:30 - 30.05.2019 03:45","377","404"
"30.05.2019 03:45 - 30.05.2019 04:00","376","399"
"30.05.2019 04:00 - 30.05.2019 04:15","375","398"
"30.05.2019 04:15 - 30.05.2019 04:30","379","397"
"30.05.2019 04:30 - 30.05.2019 04:45","381","398"
"30.05.2019 04:45 - 30.05.2019 05:00","382","395"
"30.05.2019 05:00 - 30.05.2019 05:15","382","398"
"30.05.2019 05:15 - 30.05.2019 05:30","393","398"
"30.05.2019 05:30 - 30.05.2019 05:45","394","396"
"30.05.2019 05:45 - 30.05.2019 06:00","389","391"
"30.05.2019 06:00 - 30.05.2019 06:15","390","384"
"30.05.2019 06:15 - 30.05.2019 06:30","362","384"
"30.05.2019 06:30 - 30.05.2019 06:45","344","382"
"30.05.2019 06:45 - 30.05.2019 07:00","339","381"
"30.05.2019 07:00 - 30.05.2019 07:15","345","376"
"30.05.2019 07:15 - 30.05.2019 07:30","358","385"
"30.05.2019 07:30 - 30.05.2019 07:45","367","385"
"30.05.2019 07:45 - 30.05.2019 08:00","373","374"
"30.05.2019 08:00 - 30.05.2019 08:15","378","370"
"30.05.2019 08:15 - 30.05.2019 08:30","393","356"
"30.05.2019 08:30 - 30.05.2019 08:45","396","348"
"30.05.2019 08:45 - 30.05.2019 09:00","400","346"
"30.05.2019 09:00 - 30.05.2019 09:15","407","355"
"30.05.2019 09:15 - 30.05.2019 09:30","415","363"
"30.05.2019 09:30 - 30.05.2019 09:45","423","367"
"30.05.2019 09:45 - 30.05.2019 10:00","425","371"
"30.05.2019 10:00 - 30.05.2019 10:15","430","381"
"30.05.2019 10:15 - 30.05.2019 10:30","438","386"
"30.05.2019 10:30 - 30.05.2019 10:45","443","389"
"30.05.2019 10:45 - 30.05.2019 11:00","440","394"
"30.05.2019 11:00 - 30.05.2019 11:15","447","403"
"30.05.2019 11:15 - 30.05.2019 11:30","454","407"
"30.05.2019 11:30 - 30.05.2019 11:45","458","410"
"30.05.2019 11:45 - 30.05.2019 12:00","462","410"
"30.05.2019 12:00 - 30.05.2019 12:15","467","409"
"30.05.2019 12:15 - 30.05.2019 12:30","466","418"
"30.05.2019 12:30 - 30.05.2019 12:45","462","422"
"30.05.2019 12:45 - 30.05.2019 13:00","452","427"
"30.05.2019 13:00 - 30.05.2019 13:15","446","435"
"30.05.2019 13:15 - 30.05.2019 13:30","444","439"
"30.05.2019 13:30 - 30.05.2019 13:45","440","442"
"30.05.2019 13:45 - 30.05.2019 14:00","432","451"
"30.05.2019 14:00 - 30.05.2019 14:15","430","460"
"30.05.2019 14:15 - 30.05.2019 14:30","426","463"
"30.05.2019 14:30 - 30.05.2019 14:45","424","462"
"30.05.2019 14:45 - 30.05.2019 15:00","422","455"
"30.05.2019 15:00 - 30.05.2019 15:15","418","455"
"30.05.2019 15:15 - 30.05.2019 15:30","423","459"
"30.05.2019 15:30 - 30.05.2019 15:45","420","454"
"30.05.2019 15:45 - 30.05.2019 16:00","418","445"
"30.05.2019 16:00 - 30.05.2019 16:15","417","432"
"30.05.2019 16:15 - 30.05.2019 16:30","410","426"
"30.05.2019 16:30 - 30.05.2019 16:45","419","423"
